time_period,scenario,series_name,average_normalised_score,average_normalised_score_p05,average_normalised_score_p95,routes_used,characteristics_used
28,nuclear,nuclear_avg,0.700392,0.598605,0.791447,3,8
28,fusion,fusion_avg,0.724548,0.547607,0.815366,3,8
29,solar,solar_avg,0.546708,0.418903,0.676113,3,8
29,nuclear,nuclear_avg,0.721958,0.629587,0.819081,3,8
29,fusion,fusion_avg,0.747903,0.579699,0.843566,3,8
30,solar,solar_avg,0.546011,0.414994,0.670858,3,8
30,nuclear,nuclear_avg,0.721645,0.635650,0.817718,3,8
30,fusion,fusion_avg,0.747711,0.575787,0.842476,3,8
31,solar,solar_avg,0.545515,0.400820,0.666085,3,8
31,nuclear,nuclear_avg,0.718308,0.623032,0.814977,3,8
31,fusion,fusion_avg,0.743753,0.453898,0.839980,3,8
32,solar,solar_avg,0.545962,0.416478,0.666796,3,8
32,nuclear,nuclear_avg,0.723244,0.634791,0.815778,3,8
32,fusion,fusion_avg,0.747731,0.441695,0.839449,3,8
33,solar,solar_avg,0.546062,0.418172,0.666404,3,8
33,nuclear,nuclear_avg,0.723571,0.639634,0.815314,3,8
33,fusion,fusion_avg,0.747716,0.444195,0.838493,3,8
34,solar,solar_avg,0.545050,0.416739,0.644154,3,8
34,nuclear,nuclear_avg,0.696077,0.614614,0.783307,3,8
34,fusion,fusion_avg,0.721316,0.441479,0.805590,3,8
35,solar,solar_avg,0.540733,0.407034,0.654179,3,8
35,nuclear,nuclear_avg,0.695531,0.608330,0.795411,3,8
35,fusion,fusion_avg,0.720954,0.533846,0.818741,3,8
36,solar,solar_avg,0.544132,0.390031,0.670374,3,8
36,nuclear,nuclear_avg,0.720680,0.601448,0.810545,3,8
36,fusion,fusion_avg,0.746620,0.534629,0.835654,3,8
37,solar,solar_avg,0.547510,0.404642,0.670951,3,8
37,nuclear,nuclear_avg,0.722653,0.626207,0.812332,3,8
37,fusion,fusion_avg,0.748848,0.543188,0.836936,3,8
38,solar,solar_avg,0.548650,0.376476,0.665331,3,8
38,nuclear,nuclear_avg,0.722124,0.601549,0.812604,3,8
38,fusion,fusion_avg,0.747849,0.527709,0.838737,3,8
39,solar,solar_avg,0.547705,0.392549,0.668815,3,8
39,nuclear,nuclear_avg,0.724033,0.610957,0.818558,3,8
39,fusion,fusion_avg,0.748576,0.437747,0.842218,3,8
40,solar,solar_avg,0.547549,0.398913,0.660456,3,8
40,nuclear,nuclear_avg,0.721824,0.612005,0.809507,3,8
40,fusion,fusion_avg,0.748201,0.436957,0.833945,3,8
41,solar,solar_avg,0.542515,0.411225,0.646262,3,8
41,nuclear,nuclear_avg,0.696085,0.607629,0.786725,3,8
41,fusion,fusion_avg,0.721591,0.450809,0.810793,3,8
42,solar,solar_avg,0.543755,0.402910,0.647484,3,8
42,nuclear,nuclear_avg,0.692624,0.594380,0.786690,3,8
42,fusion,fusion_avg,0.719192,0.454425,0.811187,3,8
43,solar,solar_avg,0.549140,0.399981,0.676456,3,8
43,nuclear,nuclear_avg,0.720702,0.611164,0.819535,3,8
43,fusion,fusion_avg,0.745725,0.459063,0.844111,3,8
44,solar,solar_avg,0.547576,0.399858,0.661063,3,8
